"Season","Team","Starting","Relieving","RAR","WAR"
"2015","Cardinals","147.5","40.1","187.6","20.6"
"2011","Phillies","232.1","22.0","254.2","29.5"
"2014","Nationals","163.1","50.6","213.7","24.3"
"2018","Astros","200.0","73.8","273.8","29.1"
"2016","Cubs","151.9","25.0","176.9","18.8"
"2014","Mariners","85.8","33.9","119.7","13.6"
"2013","Braves","116.2","43.7","159.9","17.9"
"2012","Rays","139.1","55.4","194.4","20.4"
"2011","Giants","125.6","31.5","157.1","17.3"
"2014","Athletics","118.0","37.4","155.4","17.4"
"2015","Pirates","139.2","37.3","176.5","19.5"
"2013","Dodgers","146.5","31.8","178.3","20.6"
"2014","Padres","76.3","32.4","108.7","12.2"
"2013","Pirates","111.1","37.3","148.5","16.8"
"2017","Indians","210.3","81.4","291.7","30.4"
"2012","Nationals","147.8","29.6","177.4","19.5"
"2012","Reds","119.9","53.6","173.5","18.7"
"2012","Dodgers","156.5","33.7","190.1","20.8"
"2015","Cubs","162.6","42.3","204.9","22.9"
"2010","Giants","121.1","50.3","171.4","18.4"
"2017","Dodgers","145.5","65.2","210.7","21.7"
"2013","Reds","129.5","29.6","159.2","18.0"
"2014","Braves","124.2","41.8","166.0","18.6"
"2019","Dodgers","192.8","43.7","236.5","24.1"
"2018","Dodgers","151.3","21.1","172.5","18.6"
"2014","Dodgers","141.8","19.7","161.5","19.5"
"2010","Padres","83.5","69.4","152.9","16.3"
"2012","Braves","66.2","38.5","104.7","11.4"
"2011","Padres","108.7","30.8","139.5","15.1"
"2013","Cardinals","122.7","30.1","152.8","17.3"
"2014","Orioles","80.6","37.3","117.9","12.9"
"2013","Royals","100.8","61.2","162.0","17.5"
"2015","Mets","144.2","27.2","171.4","19.0"
"2015","Dodgers","138.6","30.8","169.4","19.7"
"2011","Braves","91.4","40.3","131.7","14.2"
"2014","Pirates","66.2","6.6","72.8","8.2"
"2014","Mets","109.1","3.7","112.7","12.7"
"2012","Athletics","135.3","49.2","184.5","19.5"
"2014","Giants","76.6","7.5","84.2","9.4"
"2014","Cardinals","112.0","28.4","140.4","15.9"
"2014","Royals","105.7","49.5","155.2","17.2"
"2016","Nationals","169.8","50.3","220.1","23.5"
"2013","Athletics","106.3","47.9","154.2","16.6"
"2014","Rays","106.3","19.2","125.6","14.1"
"2011","Dodgers","145.5","33.2","178.7","20.0"
"2011","Angels","136.5","-1.3","135.3","15.0"
"2010","Braves","99.8","47.4","147.2","15.6"
"2010","Cardinals","113.7","-8.5","105.1","11.4"
"2015","Astros","130.9","43.1","174.0","18.9"
"2014","Indians","149.0","28.6","177.6","20.3"
"2014","Angels","99.7","29.6","129.2","14.5"
"2016","Mets","146.8","51.6","198.5","21.5"
"2011","Nationals","84.4","21.6","106.1","11.6"
"2010","Athletics","119.8","11.5","131.3","13.7"
"2011","Rays","140.1","14.3","154.5","16.8"
"2014","Reds","94.9","17.5","112.4","12.8"
"2013","Nationals","126.2","27.6","153.7","17.3"
"2013","Tigers","204.9","28.6","233.5","26.3"
"2015","Nationals","162.4","35.5","198.0","22.2"
"2013","Rangers","131.0","63.8","194.8","21.2"
"2011","Brewers","118.7","36.4","155.1","16.8"
"2018","Cubs","96.2","46.0","142.2","15.1"
"2019","Astros","186.1","44.0","230.1","23.7"
"2014","Brewers","81.5","15.9","97.4","10.9"
"2017","Diamondbacks","179.1","42.6","221.7","22.9"
"2019","Rays","172.8","78.3","251.1","25.3"
"2012","Giants","93.4","9.0","102.4","10.9"
"2015","Indians","145.7","46.6","192.3","21.1"
"2010","Phillies","133.4","19.6","153.0","16.6"
"2016","Giants","122.9","11.3","134.2","14.2"
"2016","Dodgers","130.6","50.5","181.1","20.0"
"2012","Cardinals","141.5","7.9","149.4","16.2"
"2013","Marlins","82.6","46.0","128.5","14.6"
"2011","Athletics","136.5","31.7","168.3","18.0"
"2018","Diamondbacks","113.7","4.0","117.7","12.9"
"2010","Mets","107.8","22.6","130.4","14.1"
"2015","Giants","63.9","15.2","79.0","8.8"
"2018","Brewers","83.4","60.2","143.6","15.2"
"2011","Yankees","115.3","46.2","161.5","17.3"
"2017","Red Sox","157.4","65.5","222.9","23.2"
"2015","Royals","81.1","48.6","129.7","13.8"
"2013","Rays","96.3","37.6","133.9","14.5"
"2015","Rays","128.5","6.7","135.2","14.7"
"2017","Yankees","141.6","87.7","229.3","23.4"
"2018","Rays","106.3","60.4","166.7","17.5"
"2014","Yankees","114.1","40.7","154.8","17.5"
"2018","Braves","112.7","27.5","140.2","14.9"
"2018","Red Sox","133.0","38.5","171.5","18.3"
"2012","Mariners","126.6","37.6","164.3","17.6"
"2012","Tigers","186.4","38.8","225.2","24.5"
"2018","Indians","201.7","-1.5","200.2","22.1"
"2018","Yankees","146.2","84.4","230.7","24.2"
"2010","Rays","113.9","42.9","156.9","16.3"
"2013","Mets","133.6","21.3","154.9","18.1"
"2011","Cardinals","104.4","4.5","108.9","12.0"
"2011","Rangers","166.6","11.3","177.9","19.2"
"2014","Marlins","99.0","48.5","147.5","16.7"
"2016","Blue Jays","132.7","29.9","162.7","16.8"
"2019","Indians","175.9","41.0","217.0","21.9"
"2013","Red Sox","107.0","36.0","143.0","15.8"
"2011","Diamondbacks","86.1","17.6","103.8","11.8"
"2014","Phillies","96.6","51.0","147.5","16.6"
"2015","Blue Jays","95.2","31.1","126.3","13.7"
"2013","Indians","131.5","20.1","151.6","16.8"
"2018","Athletics","76.7","54.7","131.5","13.6"
"2019","Cardinals","108.7","47.2","155.9","15.6"
"2013","Brewers","43.4","2.2","45.6","5.3"
"2018","Cardinals","131.3","1.3","132.6","14.1"
"2012","Yankees","122.1","40.3","162.4","17.0"
"2016","Indians","128.6","45.7","174.3","18.2"
"2012","Phillies","153.7","26.4","180.1","19.8"
"2017","Nationals","182.2","34.5","216.7","23.0"
"2012","Orioles","93.9","58.5","152.4","16.0"
"2012","Pirates","96.1","32.2","128.3","13.7"
"2011","Mariners","144.2","14.6","158.8","17.4"
"2013","Diamondbacks","66.0","10.8","76.8","8.5"
"2014","Cubs","129.2","49.9","179.1","20.5"
"2010","Rangers","130.9","49.2","180.1","19.3"
"2015","Angels","86.1","28.8","114.9","12.2"
"2012","Diamondbacks","103.6","37.9","141.5","15.3"
"2013","Yankees","115.3","22.3","137.6","14.8"
"2010","Mariners","139.3","-0.5","138.8","15.7"
"2011","Marlins","109.6","29.2","138.7","15.3"
"2010","Twins","137.6","26.3","163.9","17.3"
"2018","Giants","75.4","49.9","125.3","13.1"
"2017","Cubs","121.8","43.5","165.3","16.8"
"2019","Athletics","118.8","70.8","189.5","18.8"
"2013","Padres","59.4","13.0","72.4","8.4"
"2015","White Sox","139.1","21.1","160.2","17.4"
"2017","Rays","106.3","41.4","147.7","15.0"
"2013","White Sox","91.5","47.3","138.8","15.3"
"2013","Cubs","99.8","2.2","102.0","11.3"
"2016","Mariners","95.2","42.6","137.8","14.5"
"2017","Brewers","119.0","42.5","161.5","17.1"
"2013","Giants","50.1","11.5","61.7","7.1"
"2016","Red Sox","131.8","47.4","179.3","18.8"
"2014","Blue Jays","116.3","10.2","126.6","14.2"
"2018","Pirates","104.2","37.8","142.0","15.1"
"2014","Red Sox","61.6","31.2","92.9","10.6"
"2014","Tigers","168.6","2.5","171.1","19.7"
"2010","Dodgers","131.2","22.1","153.3","16.8"
"2012","Padres","46.5","25.8","72.3","7.8"
"2017","Cardinals","115.2","39.2","154.4","15.7"
"2012","Angels","89.7","9.0","98.7","10.4"
"2012","Rangers","158.7","51.8","210.5","22.2"
"2010","Reds","94.5","26.8","121.3","12.8"
"2012","White Sox","122.7","28.2","150.9","16.2"
"2015","Yankees","122.0","49.4","171.4","18.4"
"2015","Marlins","73.6","37.8","111.4","12.2"
"2018","Nationals","141.4","9.0","150.4","16.7"
"2010","Angels","114.3","12.1","126.4","13.5"
"2011","Tigers","130.6","21.6","152.2","16.7"
"2011","Pirates","53.8","24.8","78.6","8.5"
"2015","Diamondbacks","67.8","28.6","96.4","10.6"
"2016","Marlins","101.0","41.8","142.8","15.5"
"2015","Orioles","87.8","60.3","148.1","15.8"
"2010","Yankees","118.2","37.0","155.2","16.4"
"2016","Astros","102.7","67.8","170.5","17.6"
"2015","Twins","126.3","23.3","149.6","16.0"
"2018","Mets","157.0","-4.5","152.5","17.7"
"2016","Cardinals","121.0","36.7","157.8","16.6"
"2010","Astros","134.1","9.9","144.0","15.5"
"2012","Mets","127.7","2.5","130.2","14.3"
"2010","Marlins","129.2","14.6","143.8","16.1"
"2015","Padres","75.1","14.0","89.2","9.7"
"2010","White Sox","168.4","59.4","227.7","24.0"
"2016","Brewers","67.8","37.3","105.1","11.1"
"2011","White Sox","169.2","46.7","215.9","23.2"
"2019","Cubs","155.5","12.6","168.2","17.0"
"2012","Marlins","105.4","20.3","125.7","13.5"
"2016","White Sox","120.4","37.4","157.8","17.1"
"2017","Astros","135.9","49.6","185.5","19.0"
"2018","Mariners","107.1","44.8","152.0","16.0"
"2010","Nationals","59.2","36.7","96.0","10.4"
"2010","Rockies","153.3","45.9","199.2","21.6"
"2014","Astros","93.3","-6.5","86.8","9.9"
"2018","Phillies","142.1","37.5","179.6","19.2"
"2018","Angels","84.4","21.7","106.1","11.3"
"2011","Reds","47.7","7.3","55.0","6.2"
"2015","Athletics","114.7","3.9","118.6","13.0"
"2015","Mariners","78.5","6.7","85.2","9.1"
"2016","Yankees","115.4","63.2","178.6","18.7"
"2019","Reds","147.6","37.9","185.5","18.6"
"2019","Twins","166.7","74.8","241.5","24.0"
"2010","Red Sox","151.0","-2.3","148.7","15.7"
"2011","Mets","93.1","16.3","109.4","11.9"
"2016","Rays","107.5","-4.8","102.7","10.6"
"2017","Angels","47.9","59.6","107.5","11.0"
"2011","Red Sox","80.5","53.6","134.2","14.3"
"2013","Orioles","65.1","36.9","101.9","11.1"
"2019","Braves","112.5","10.1","122.6","12.3"
"2016","Royals","62.3","53.0","115.3","12.1"
"2016","Orioles","97.8","54.8","152.6","15.7"
"2012","Brewers","122.6","7.1","129.7","14.3"
"2016","Pirates","69.8","13.5","83.3","9.0"
"2017","Pirates","130.8","31.2","162.0","16.6"
"2010","Blue Jays","127.9","17.6","145.5","15.3"
"2010","Cubs","116.3","12.8","129.1","13.8"
"2016","Tigers","129.6","47.7","177.3","18.5"
"2013","Angels","78.8","13.7","92.5","10.1"
"2011","Indians","123.2","43.1","166.3","17.7"
"2019","Diamondbacks","108.8","28.0","136.8","13.9"
"2019","Mets","190.0","5.5","195.4","20.4"
"2015","Rangers","88.3","14.4","102.7","11.0"
"2014","Diamondbacks","61.1","14.1","75.3","8.2"
"2013","Blue Jays","52.2","34.9","87.1","9.5"
"2019","Nationals","204.3","8.3","212.6","22.3"
"2015","Brewers","62.3","29.4","91.8","9.9"
"2016","Angels","64.1","9.8","73.8","8.0"
"2010","Tigers","139.5","29.4","168.9","18.0"
"2010","Indians","85.5","9.3","94.8","9.7"
"2014","White Sox","92.6","-1.8","90.8","10.7"
"2012","Royals","77.8","66.8","144.6","15.1"
"2019","Yankees","106.9","76.2","183.1","18.2"
"2013","Mariners","109.8","30.2","139.9","15.7"
"2011","Blue Jays","84.2","17.8","101.9","10.7"
