"Season","Team","W","L"
"2015","Cardinals","100","62"
"2011","Phillies","102","60"
"2014","Nationals","96","66"
"2018","Astros","103","59"
"2016","Cubs","103","58"
"2014","Mariners","87","75"
"2013","Braves","96","66"
"2012","Rays","90","72"
"2011","Giants","86","76"
"2014","Athletics","88","74"
"2015","Pirates","98","64"
"2013","Dodgers","92","70"
"2014","Padres","77","85"
"2013","Pirates","94","68"
"2017","Indians","102","60"
"2012","Nationals","98","64"
"2012","Reds","97","65"
"2012","Dodgers","86","76"
"2015","Cubs","97","65"
"2010","Giants","92","70"
"2017","Dodgers","104","58"
"2013","Reds","90","72"
"2014","Braves","79","83"
"2019","Dodgers","106","56"
"2018","Dodgers","92","71"
"2014","Dodgers","94","68"
"2010","Padres","90","72"
"2012","Braves","94","68"
"2011","Padres","71","91"
"2013","Cardinals","97","65"
"2014","Orioles","96","66"
"2013","Royals","86","76"
"2015","Mets","90","72"
"2015","Dodgers","92","70"
"2011","Braves","89","73"
"2014","Pirates","88","74"
"2014","Mets","79","83"
"2012","Athletics","94","68"
"2014","Giants","88","74"
"2014","Cardinals","90","72"
"2014","Royals","89","73"
"2016","Nationals","95","67"
"2013","Athletics","96","66"
"2014","Rays","77","85"
"2011","Dodgers","82","79"
"2011","Angels","86","76"
"2010","Braves","91","71"
"2010","Cardinals","86","76"
"2015","Astros","86","76"
"2014","Indians","85","77"
"2014","Angels","98","64"
"2016","Mets","87","75"
"2011","Nationals","80","81"
"2010","Athletics","81","81"
"2011","Rays","91","71"
"2014","Reds","76","86"
"2013","Nationals","86","76"
"2013","Tigers","93","69"
"2015","Nationals","83","79"
"2013","Rangers","91","72"
"2011","Brewers","96","66"
"2018","Cubs","95","68"
"2019","Astros","107","55"
"2014","Brewers","82","80"
"2017","Diamondbacks","93","69"
"2019","Rays","96","66"
"2012","Giants","94","68"
"2015","Indians","81","80"
"2010","Phillies","97","65"
"2016","Giants","87","75"
"2016","Dodgers","91","71"
"2012","Cardinals","88","74"
"2013","Marlins","62","100"
"2011","Athletics","74","88"
"2018","Diamondbacks","82","80"
"2010","Mets","79","83"
"2015","Giants","84","78"
"2018","Brewers","96","67"
"2011","Yankees","97","65"
"2017","Red Sox","93","69"
"2015","Royals","95","67"
"2013","Rays","92","71"
"2015","Rays","80","82"
"2017","Yankees","91","71"
"2018","Rays","90","72"
"2014","Yankees","84","78"
"2018","Braves","90","72"
"2018","Red Sox","108","54"
"2012","Mariners","75","87"
"2012","Tigers","88","74"
"2018","Indians","91","71"
"2018","Yankees","100","62"
"2010","Rays","96","66"
"2013","Mets","74","88"
