"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2017","Astros","48.7","4.0","-1.1","1.9","52.7","0.8","2.2","20.5","76.1","7.6"
"2012","Yankees","40.2","-3.6","8.6","1.3","36.6","9.9","3.0","20.6","70.1","7.3"
"2016","Nationals","61.8","8.4","-10.2","2.4","70.2","-7.8","1.0","34.3","97.7","10.0"
"2010","Yankees","34.8","0.8","-0.5","2.2","35.6","1.7","3.9","20.6","61.9","6.4"
"2016","Rockies","22.9","-0.1","-3.5","2.2","22.7","-1.2","0.6","19.7","41.8","4.3"
"2013","Yankees","33.3","-4.5","1.9","1.6","28.8","3.5","2.7","19.7","54.6","5.9"
"2010","Marlins","28.2","0.0","-6.9","2.4","28.3","-4.5","0.4","20.0","44.1","4.6"
"2016","Astros","40.6","0.8","-3.3","0.8","41.4","-2.6","3.2","22.8","64.9","6.6"
"2012","Diamondbacks","26.0","0.6","-1.3","2.3","26.6","1.0","0.5","19.7","47.8","5.0"
"2019","Diamondbacks","44.7","2.3","-1.8","3.3","47.0","1.5","1.1","36.3","85.9","8.3"
"2011","Red Sox","28.2","3.1","17.8","2.3","31.4","20.2","3.2","23.1","77.8","8.2"
"2016","Mariners","33.8","-1.9","4.6","1.7","31.9","6.3","3.1","22.0","63.3","6.5"
"2016","Twins","26.2","5.4","3.9","2.1","31.6","6.0","3.0","20.8","61.3","6.3"
"2010","Brewers","24.3","6.3","1.4","2.3","30.6","3.7","0.5","22.3","57.1","5.9"
"2018","Astros","24.5","4.7","-3.2","1.3","29.3","-1.9","1.9","17.9","47.2","4.9"
"2014","Astros","28.5","4.7","-10.4","2.2","33.2","-8.1","2.3","20.0","47.4","5.2"
"2010","Red Sox","22.8","3.6","-6.5","1.3","26.4","-5.3","5.3","28.1","54.6","5.7"
"2011","Yankees","20.4","1.1","-7.0","1.8","21.5","-5.2","2.9","21.1","40.4","4.3"
"2011","Rangers","16.9","9.0","17.6","1.0","25.9","18.6","3.0","22.1","69.7","7.4"
"2019","Yankees","45.4","2.9","-4.8","3.2","48.3","-1.6","5.8","46.3","98.9","9.6"
"2017","Twins","18.9","3.9","-0.9","2.2","22.8","1.3","2.4","22.3","48.8","4.9"
"2017","Indians","24.2","3.8","2.1","3.7","28.0","5.8","3.7","35.0","72.6","7.2"
"2016","Tigers","18.6","4.5","4.9","2.3","23.2","7.2","3.0","20.9","54.2","5.5"
"2019","Astros","30.8","-6.8","-5.4","-0.1","24.0","-5.5","3.9","30.9","53.3","5.2"
"2019","Braves","15.3","4.8","2.2","2.4","20.1","4.6","0.7","22.1","47.4","4.6"
"2016","Diamondbacks","16.6","7.5","-1.9","2.6","24.2","0.7","0.9","28.2","53.9","5.5"
"2011","Reds","16.8","0.1","11.1","2.3","17.0","13.4","0.9","19.6","50.9","5.4"
"2013","Indians","18.5","4.7","-1.3","2.0","23.2","0.7","2.6","19.5","46.0","5.0"
"2018","Cubs","37.6","4.8","5.6","1.8","42.5","7.4","2.4","45.0","97.3","10.0"
"2016","Red Sox","15.2","-3.1","5.5","2.3","12.1","7.8","3.3","23.2","46.4","4.7"
"2010","Braves","20.6","1.8","-4.8","3.4","22.4","-1.4","0.7","34.3","56.0","5.8"
"2015","Astros","19.0","-4.0","2.0","2.2","15.0","4.2","2.4","20.1","41.7","4.4"
"2014","Mariners","21.4","1.3","3.9","1.4","22.7","5.3","2.4","20.3","50.6","5.6"
"2016","Mets","19.6","-0.5","7.8","2.3","19.1","10.1","0.7","23.3","53.2","5.4"
"2017","Orioles","12.2","-1.6","-3.8","2.7","10.6","-1.1","2.4","22.5","34.3","3.4"
"2018","Athletics","19.1","0.7","4.4","2.0","19.8","6.5","2.4","22.6","51.3","5.3"
"2017","Nationals","10.6","1.0","2.9","5.1","11.6","8.0","2.0","32.0","53.6","5.3"
"2013","Red Sox","10.4","-0.4","7.5","2.5","10.0","10.0","2.9","21.1","43.9","4.7"
"2016","Cubs","17.1","5.4","2.9","2.4","22.5","5.3","1.0","33.4","62.2","6.4"
"2016","Cardinals","28.6","0.5","-2.5","2.7","29.1","0.3","1.5","48.9","79.8","8.2"
"2019","Cardinals","16.2","13.5","9.7","2.7","29.6","12.3","0.9","28.6","71.4","6.9"
"2018","Rays","25.3","4.1","2.7","2.7","29.4","5.4","3.5","32.7","71.0","7.3"
"2019","Twins","11.8","0.9","-8.3","1.0","12.8","-7.3","3.3","26.1","34.8","3.4"
"2014","Twins","13.1","9.2","-5.4","2.3","22.4","-3.1","2.4","20.2","41.8","4.6"
"2014","Brewers","10.6","-2.2","-6.2","2.2","8.4","-4.0","1.5","21.5","27.4","3.0"
"2019","Nationals","5.0","-4.2","3.0","2.0","0.7","5.0","0.6","20.8","27.2","2.6"
"2017","Athletics","13.0","-0.2","-1.8","0.9","12.8","-0.9","2.4","22.7","37.0","3.7"
"2015","Giants","15.9","1.0","4.8","3.1","16.9","7.9","1.3","22.2","48.2","5.1"
"2019","Dodgers","17.5","7.4","3.1","-1.0","24.8","2.1","1.1","35.6","63.6","6.2"
"2011","Rays","20.9","5.6","14.7","2.9","26.5","17.6","4.5","32.3","80.7","8.5"
"2019","Brewers","10.2","-3.5","-3.2","4.2","6.6","1.0","1.3","40.3","49.2","4.8"
"2013","Cardinals","19.8","7.2","-4.4","5.1","27.0","0.7","1.6","32.7","62.0","6.7"
"2010","Reds","3.5","1.4","10.8","2.4","4.9","13.2","0.5","21.6","40.2","4.2"
"2016","Rangers","2.2","3.9","-5.4","1.9","6.1","-3.5","2.7","19.1","24.3","2.5"
"2018","Mets","14.2","6.9","-5.7","2.2","21.1","-3.5","1.2","22.9","41.7","4.3"
"2018","Reds","8.0","-0.1","1.9","2.4","7.9","4.3","1.5","27.2","40.9","4.2"
"2016","Indians","5.3","0.3","8.1","1.8","5.7","9.9","3.4","24.3","43.3","4.4"
"2010","Diamondbacks","-0.8","-5.3","9.9","3.3","-6.1","13.2","0.6","29.0","36.7","3.8"
"2015","Tigers","8.2","1.1","3.5","2.3","9.2","5.8","2.5","20.9","38.4","4.1"
"2018","Diamondbacks","9.5","1.3","-4.9","2.6","10.8","-2.3","1.7","30.6","40.8","4.2"
"2010","Phillies","3.7","6.0","14.2","4.7","9.8","18.9","0.6","27.3","56.5","5.9"
"2014","Red Sox","6.6","1.9","15.5","2.5","8.5","18.0","2.8","24.1","53.5","5.9"
"2011","Braves","7.8","4.1","-11.4","2.6","11.8","-8.8","1.0","23.1","27.2","2.9"
"2019","Blue Jays","6.3","6.8","-3.1","-0.5","13.1","-3.6","3.5","28.2","41.2","4.0"
"2017","Dodgers","6.5","1.9","17.0","5.1","8.4","22.2","2.0","32.6","65.1","6.5"
"2018","Royals","6.0","6.5","3.8","0.7","12.5","4.5","2.7","25.6","45.3","4.7"
"2015","Red Sox","5.6","5.8","-2.9","1.1","11.4","-1.8","3.6","30.1","43.2","4.6"
"2017","Braves","-0.8","0.8","4.5","2.3","0.0","6.8","1.5","24.4","32.7","3.3"
"2017","Cubs","0.1","-0.7","0.2","3.5","-0.6","3.7","3.0","48.5","54.6","5.4"
"2011","Angels","11.7","-2.7","16.9","0.3","9.0","17.2","4.6","33.1","63.9","6.8"
"2015","Indians","6.0","5.9","-0.1","2.5","11.9","2.5","3.5","29.1","47.0","5.0"
"2019","Orioles","3.4","8.8","-2.8","6.2","12.2","3.4","5.0","39.8","60.4","5.9"
"2017","Mets","6.0","-8.9","-6.1","4.3","-2.9","-1.8","1.8","29.6","26.7","2.7"
"2015","Rockies","-6.5","3.1","0.0","2.2","-3.4","2.2","1.1","18.1","18.0","1.9"
"2016","Rays","6.7","-0.7","0.6","1.7","6.0","2.4","3.4","23.9","35.7","3.7"
"2010","Athletics","4.0","2.1","11.4","1.3","6.1","12.7","4.4","23.1","46.3","4.8"
"2013","Rays","9.0","2.2","0.7","1.3","11.1","2.0","3.4","25.1","41.7","4.5"
