"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2011","Tigers","23.7","-1.5","-11.0","10.0","22.2","-1.0","2.3","16.7","40.2","4.3"
"2012","Giants","42.3","-5.0","22.6","10.2","37.3","32.7","0.6","25.1","95.7","10.0"
"2011","Rangers","28.2","-7.7","-11.1","6.8","20.5","-4.3","3.6","26.1","46.0","4.9"
"2010","Braves","22.5","-8.3","39.4","12.1","14.2","51.5","0.5","21.1","87.3","9.1"
"2012","Phillies","24.1","-1.2","8.0","12.4","22.9","20.5","0.5","20.3","64.1","6.7"
"2013","Indians","32.4","-3.1","-5.4","5.1","29.3","-0.4","3.8","27.8","60.4","6.5"
"2014","Brewers","23.7","-2.3","31.9","11.2","21.4","43.0","1.6","22.1","88.1","9.7"
"2017","Braves","17.1","-0.7","7.4","12.2","16.5","19.6","1.4","21.7","59.2","5.9"
"2011","Diamondbacks","15.7","-7.7","24.4","12.4","8.0","36.7","0.8","19.3","64.9","6.9"
"2016","Nationals","15.7","-7.4","5.9","12.5","8.3","18.4","0.6","20.2","47.5","4.9"
"2012","Cardinals","20.7","-5.2","24.5","12.4","15.5","36.8","0.5","20.9","73.8","7.7"
"2017","Cubs","16.8","-8.1","-7.6","11.5","8.7","3.9","1.5","23.7","37.8","3.8"
"2010","Reds","11.5","-4.0","21.7","12.3","7.5","34.0","0.4","20.0","61.9","6.4"
"2012","Brewers","15.2","-2.3","36.5","12.2","13.0","48.7","0.5","21.4","83.6","8.8"
"2019","Twins","19.8","-4.2","-2.3","11.0","15.6","8.7","3.3","26.4","54.0","5.2"
"2019","Brewers","15.6","-4.8","17.9","11.2","10.7","29.1","0.8","25.7","66.3","6.4"
"2010","Phillies","11.7","-3.7","0.3","12.5","8.0","12.8","0.4","19.1","40.3","4.2"
"2014","Pirates","19.6","-5.2","24.4","12.3","14.4","36.7","1.4","19.6","72.1","7.9"
"2019","Mariners","20.5","-0.2","-5.3","9.4","20.2","4.1","3.0","24.1","51.5","5.0"
"2013","Cubs","15.8","-6.2","-15.0","12.0","9.7","-3.0","1.0","20.1","27.8","3.0"
"2011","Braves","15.6","-6.1","45.1","12.5","9.4","57.6","0.9","20.6","88.5","9.4"
"2017","Dodgers","14.4","-6.2","29.4","12.4","8.2","41.7","1.5","23.6","75.0","7.5"
"2012","Diamondbacks","9.3","-5.8","14.9","12.3","3.5","27.2","0.5","20.3","51.5","5.4"
"2012","White Sox","10.6","-1.7","6.9","11.5","8.9","18.4","2.9","20.2","50.5","5.3"
"2013","Twins","22.8","-0.8","-24.6","0.9","22.0","-23.6","5.1","37.9","41.4","4.5"
"2012","Twins","23.8","-7.3","-35.6","-0.7","16.6","-36.3","5.6","38.7","24.5","2.6"
"2010","Twins","10.5","-0.2","7.8","9.3","10.4","17.1","4.6","24.0","56.1","5.8"
"2018","Pirates","13.6","-1.2","-6.1","11.7","12.3","5.6","1.2","21.6","40.7","4.2"
"2016","Yankees","13.8","-4.2","-3.9","6.4","9.6","2.5","3.8","27.1","42.9","4.4"
"2019","Cubs","9.1","-1.7","-7.1","10.9","7.4","3.9","0.8","24.6","36.6","3.6"
"2014","Giants","21.2","-2.4","18.2","9.9","18.9","28.1","1.8","24.9","73.6","8.1"
"2010","Yankees","7.0","-3.5","-32.7","9.1","3.5","-23.6","4.4","23.2","7.5","0.8"
"2017","Giants","13.0","-2.9","-0.3","9.4","10.1","9.0","1.7","27.4","48.2","4.8"
"2014","Athletics","20.1","-1.6","-27.1","7.0","18.5","-20.1","2.7","23.6","24.8","2.7"
"2013","Red Sox","6.8","1.3","2.6","12.0","8.1","14.7","2.6","19.1","44.4","4.8"
