"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2011","Dodgers","54.3","5.6","-4.8","2.2","59.9","-2.7","0.9","20.0","78.2","8.3"
"2014","Pirates","49.8","1.5","-5.6","2.2","51.3","-3.4","1.3","18.3","67.4","7.4"
"2017","Rockies","37.8","1.3","-2.1","2.2","39.1","0.1","1.5","23.4","64.1","6.4"
"2015","Angels","53.5","2.9","4.8","1.7","56.4","6.5","2.5","20.6","85.9","9.1"
"2014","Angels","51.5","6.0","-7.6","1.2","57.5","-6.4","2.4","20.3","73.8","8.1"
"2013","Angels","63.0","9.1","-1.9","-0.5","72.1","-2.3","3.5","26.1","99.4","10.7"
"2011","Red Sox","42.4","5.1","16.0","2.0","47.5","18.0","2.9","21.3","89.7","9.5"
"2013","Reds","41.5","5.4","-5.9","2.2","46.9","-3.7","1.0","21.0","65.2","7.0"
"2016","Angels","49.2","9.7","7.2","0.0","58.9","7.2","3.4","23.9","93.4","9.6"
"2011","Yankees","36.1","8.4","-6.1","2.2","44.5","-4.0","2.8","20.4","63.8","6.7"
"2012","Pirates","39.8","4.3","-3.9","2.1","44.1","-1.9","0.5","21.7","64.5","6.8"
"2013","Pirates","39.3","6.3","1.8","2.2","45.5","4.0","1.0","20.1","70.7","7.6"
"2018","Angels","51.3","7.2","-0.3","-1.2","58.5","-1.6","2.9","27.4","87.2","9.0"
"2010","Rockies","30.1","7.4","-5.9","-1.6","37.4","-7.4","0.7","33.8","64.5","6.7"
"2015","Pirates","34.8","-1.2","-1.4","2.0","33.6","0.6","1.2","20.1","55.5","5.9"
"2019","Angels","57.5","9.8","-0.6","-2.9","67.4","-3.4","4.4","34.7","103.0","10.0"
"2012","Angels","43.9","17.0","19.2","0.3","60.9","19.5","3.6","24.6","108.6","11.4"
"2012","Tigers","24.8","0.3","0.7","2.0","25.2","2.7","2.6","18.2","48.7","5.1"
"2015","Diamondbacks","24.3","6.7","9.7","2.2","31.0","11.9","1.1","19.7","63.8","6.8"
"2012","Rockies","23.4","11.4","-4.4","-2.1","34.8","-6.5","0.9","35.0","64.1","6.7"
"2010","Rangers","29.9","7.0","20.4","-3.4","36.9","17.0","6.0","31.8","91.8","9.5"
"2019","Athletics","44.2","4.0","-0.5","-2.2","48.2","-2.6","3.9","31.1","80.6","7.8"
"2011","Phillies","32.9","8.5","6.0","0.4","41.3","6.4","1.1","25.6","74.5","7.9"
"2017","Angels","43.2","11.9","-1.2","-2.1","55.0","-3.3","3.4","32.6","87.7","8.7"
"2017","Cardinals","42.8","9.7","1.8","-2.1","52.5","-0.3","2.3","36.4","90.8","9.0"
