"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2017","Diamondbacks","1.9","-0.1","-0.9","-0.2","1.8","-1.1","0.0","0.5","1.2","0.1"
"2019","Twins","42.2","-4.5","","-12.3","37.7","-12.3","2.1","16.4","43.8","4.3"
"2016","Red Sox","45.3","-9.2","0.7","-15.7","36.0","-15.0","2.8","19.7","43.6","4.5"
"2014","Tigers","47.7","-7.6","-4.4","-15.0","40.1","-19.4","2.1","18.3","41.2","4.5"
"2011","Red Sox","38.3","-8.1","1.5","-15.4","30.2","-14.0","2.6","18.8","37.7","4.0"
"2013","Red Sox","34.7","-7.7","-0.7","-14.3","27.0","-15.0","2.3","17.1","31.5","3.4"
"2018","Red Sox","50.6","-6.8","-1.8","-17.3","43.8","-19.1","2.8","26.4","53.9","5.5"
"2015","Blue Jays","36.2","-1.8","1.1","-13.3","34.4","-12.2","2.2","18.2","42.6","4.5"
"2016","Mariners","38.2","-3.2","-1.7","-13.7","35.0","-15.3","2.9","20.2","42.7","4.4"
"2013","Blue Jays","51.4","-6.7","-6.5","-23.4","44.7","-29.9","4.4","32.6","51.9","5.6"
"2019","Red Sox","28.6","-4.7","-5.2","-13.4","24.0","-18.6","2.7","21.3","29.4","2.9"
"2017","Mariners","34.3","-4.3","1.0","-17.2","30.0","-16.2","2.2","21.3","37.3","3.7"
"2012","Royals","31.2","-11.1","-1.9","-16.2","20.1","-18.2","3.0","20.4","25.3","2.6"
"2014","Red Sox","25.0","-6.7","-0.5","-14.7","18.3","-15.2","2.0","17.3","22.4","2.5"
"2019","Astros","30.1","-3.0","0.9","-13.6","27.0","-12.7","2.5","19.6","36.3","3.5"
"2016","Blue Jays","30.0","-1.7","1.0","-15.0","28.3","-13.9","3.0","21.2","38.6","3.9"
"2011","Rangers","23.6","0.9","-5.3","-9.4","24.4","-14.7","2.8","20.4","33.0","3.5"
"2011","Tigers","21.0","-8.6","-4.4","-10.7","12.4","-15.1","2.4","17.3","17.0","1.8"
"2017","Indians","22.7","-7.8","-0.6","-16.5","14.9","-17.1","2.2","21.1","21.2","2.1"
"2018","Athletics","27.8","-4.8","-3.0","-15.5","23.0","-18.5","2.1","19.6","26.2","2.7"
"2014","Blue Jays","37.7","-0.2","-7.8","-21.3","37.5","-29.1","3.3","28.3","40.0","4.4"
"2012","Blue Jays","34.7","-1.2","-3.9","-23.0","33.6","-27.0","4.5","31.0","42.1","4.4"
"2012","Phillies","2.4","-0.3","-0.1","-1.2","2.1","-1.3","0.1","2.1","3.0","0.3"
"2019","Rangers","25.9","6.9","-13.2","-17.7","32.7","-30.9","4.4","34.9","41.2","4.0"
"2012","White Sox","40.0","-7.1","-3.3","-26.5","32.9","-29.8","5.5","37.7","46.4","4.9"
"2019","Rays","34.0","-0.4","-2.5","-14.3","33.6","-16.8","3.4","27.3","47.5","4.6"
"2014","Orioles","33.2","-4.7","3.6","-17.8","28.5","-14.3","3.1","26.7","44.1","4.8"
"2015","Yankees","21.2","0.5","-1.1","-15.1","21.7","-16.2","2.2","18.2","25.9","2.7"
"2015","Rangers","20.2","-5.2","-2.5","-16.3","15.0","-18.8","2.4","20.3","18.9","2.0"
"2018","Yankees","24.2","-0.1","7.3","-12.5","24.1","-5.3","2.2","21.1","42.1","4.3"
"2019","Royals","23.1","-2.5","-4.7","-16.6","20.5","-21.2","3.2","25.1","27.6","2.7"
"2016","Orioles","32.1","0.6","-12.0","-20.3","32.7","-32.3","4.5","31.9","36.9","3.8"
"2010","Red Sox","18.2","-9.7","1.2","-19.3","8.5","-18.0","4.8","25.2","20.4","2.1"
"2010","Angels","17.3","-5.5","-3.5","-13.6","11.8","-17.1","3.1","16.5","14.4","1.5"
"2012","Red Sox","15.4","-6.4","-3.1","-9.2","8.9","-12.3","2.4","16.2","15.2","1.6"
"2015","Mariners","40.4","-3.3","-7.6","-19.2","37.1","-26.8","3.9","32.5","46.7","5.0"
"2016","Indians","33.0","-6.5","-4.9","-27.6","26.5","-32.5","5.7","40.2","39.9","4.1"
"2017","Rangers","17.6","-5.6","-1.2","-12.4","12.0","-13.7","3.4","31.7","33.3","3.3"
"2010","Twins","24.5","-12.5","-10.2","-18.0","11.9","-28.2","5.7","29.9","19.3","2.0"
"2010","Orioles","16.3","-6.6","-3.5","-15.4","9.7","-18.9","4.2","22.3","17.3","1.8"
"2015","Royals","19.3","-7.2","-0.6","-16.9","12.0","-17.5","2.4","19.8","16.7","1.8"
"2015","Red Sox","18.3","-5.8","-1.2","-17.0","12.5","-18.2","2.5","20.7","17.4","1.8"
"2016","Yankees","23.3","-0.5","4.0","-12.1","22.8","-8.1","3.8","26.9","45.4","4.6"
"2011","Royals","15.3","-8.2","-2.0","-16.2","7.1","-18.2","2.7","19.6","11.2","1.2"
"2018","Mariners","22.8","-6.2","4.3","-17.2","16.6","-12.9","2.2","20.9","26.8","2.8"
"2019","Angels","12.3","1.4","","-9.9","13.7","-9.9","1.7","13.4","18.8","1.8"
"2016","Tigers","14.8","-10.1","0.2","-15.3","4.8","-15.1","2.6","18.4","10.7","1.1"
"2015","Twins","12.4","-6.7","1.8","-11.6","5.7","-9.8","1.8","15.2","12.9","1.4"
"2010","Rangers","7.6","-11.6","0.5","-15.9","-4.0","-15.5","3.9","20.6","5.0","0.5"
"2010","Yankees","16.0","-2.5","-39.8","-9.7","13.5","-49.5","5.5","29.0","-1.5","-0.2"
"2018","Indians","12.7","-6.4","-1.1","-16.3","6.3","-17.3","2.2","21.0","12.2","1.3"
"2014","Astros","15.5","-0.6","-1.9","-14.1","15.0","-15.9","1.9","16.2","17.1","1.9"
"2012","Twins","36.7","-12.8","-39.0","-15.1","23.9","-54.1","7.6","52.5","29.9","3.1"
"2019","Mariners","20.8","0.1","0.0","-17.7","20.9","-17.7","3.4","26.6","33.1","3.2"
"2018","Rays","21.9","-4.4","1.5","-18.7","17.5","-17.3","2.7","25.5","28.5","2.9"
"2019","Yankees","20.6","-4.8","-8.9","-20.8","15.8","-29.7","4.2","33.5","23.9","2.3"
"2011","Twins","11.0","-5.1","-3.2","-12.9","5.9","-16.0","2.6","18.7","11.2","1.2"
"2018","Rangers","11.5","-1.8","0.3","-15.5","9.7","-15.3","3.6","34.3","32.4","3.3"
"2013","Indians","16.7","-3.8","-20.1","-7.3","12.9","-27.3","3.4","25.2","14.1","1.5"
"2013","Royals","11.8","-8.5","0.6","-16.7","3.3","-16.1","2.6","19.4","9.3","1.0"
"2012","Yankees","8.5","0.8","-0.6","-3.0","9.3","-3.6","2.3","15.7","23.7","2.5"
"2010","Indians","10.0","0.3","1.0","-13.4","10.3","-12.5","3.1","16.4","17.3","1.8"
"2011","Indians","16.2","-1.5","-8.3","-16.2","14.7","-24.5","3.1","22.6","16.0","1.7"
