"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2012","Brewers","46.9","2.6","0.8","-7.0","49.5","-6.2","0.5","20.3","64.0","6.7"
"2010","Cardinals","40.0","-1.1","7.3","-7.0","38.9","0.3","0.4","20.0","59.6","6.2"
"2019","Nationals","39.2","-1.6","-0.3","-7.0","37.5","-7.2","0.7","21.9","52.9","5.1"
"2011","Cardinals","46.9","-1.5","1.9","-7.1","45.4","-5.2","0.9","21.6","62.7","6.6"
"2010","Rangers","52.2","6.2","7.6","-9.8","58.4","-2.2","6.1","32.1","94.4","9.8"
"2011","Brewers","48.6","7.7","-7.4","-8.5","56.3","-15.9","1.2","26.3","67.9","7.2"
"2018","Brewers","55.6","5.9","1.6","-10.7","61.4","-9.1","1.8","32.9","87.0","9.0"
"2012","Rangers","48.2","4.7","-4.9","-8.6","52.9","-13.5","5.0","34.2","78.5","8.2"
"2017","Tigers","23.3","2.1","4.4","-5.5","25.4","-1.1","1.7","16.3","42.3","4.2"
"2010","Rockies","34.8","5.4","-12.6","-10.8","40.2","-23.4","0.9","43.2","60.9","6.3"
"2017","Mets","44.8","2.6","0.2","-7.0","47.5","-6.8","1.9","30.2","72.7","7.2"
"2013","Rockies","19.0","8.1","4.4","-6.6","27.1","-2.2","1.1","21.5","47.5","5.1"
"2011","Royals","30.9","4.6","14.1","-7.8","35.5","6.3","3.2","23.3","68.4","7.2"
"2012","Cardinals","29.9","-0.2","-1.7","-7.1","29.7","-8.9","0.5","22.2","43.5","4.6"
"2013","Angels","57.8","8.6","1.1","-8.1","66.3","-7.0","5.0","37.1","101.5","11.0"
"2010","Rays","26.9","13.3","17.9","-6.8","40.1","11.1","3.7","19.6","74.6","7.7"
"2018","Diamondbacks","23.5","0.3","1.5","-6.4","23.8","-4.9","1.0","18.8","38.7","4.0"
"2014","Orioles","61.6","-1.8","16.0","-26.5","59.8","-10.5","5.3","45.3","99.9","11.0"
"2014","Rockies","14.7","-3.0","-5.3","-7.7","11.7","-13.0","1.5","21.6","21.8","2.4"
"2017","Marlins","31.4","-5.1","1.9","-7.9","26.3","-6.1","1.7","27.6","49.6","4.9"
"2019","Rangers","31.1","4.2","-8.9","-15.5","35.3","-24.4","5.1","40.7","56.7","5.5"
"2017","Cardinals","44.3","8.5","10.6","-12.4","52.8","-1.8","2.6","41.2","94.8","9.4"
"2016","Cubs","50.8","6.9","21.7","-4.8","57.7","16.9","1.4","47.9","124.0","12.7"
"2012","Angels","61.4","13.9","7.4","-11.0","75.3","-3.6","6.5","44.8","123.0","12.9"
"2014","Dodgers","50.6","-1.9","-7.8","-10.0","48.7","-17.8","2.5","35.2","68.6","7.5"
"2015","Cardinals","38.7","0.4","0.0","-7.7","39.1","-7.7","1.8","30.9","64.1","6.8"
"2014","Cardinals","23.3","-2.0","-5.6","-7.3","21.3","-12.8","1.3","18.9","28.7","3.1"
"2010","Brewers","22.5","1.4","-6.1","-7.7","23.9","-13.8","0.6","27.7","38.4","4.0"
"2012","Royals","21.7","-0.9","9.5","-7.3","20.8","2.2","3.1","21.3","47.4","5.0"
"2010","Giants","38.6","-1.1","16.6","-15.4","37.6","1.1","0.9","40.0","79.6","8.3"
"2012","Rockies","7.8","-0.6","8.5","-8.1","7.2","0.4","0.6","24.4","32.6","3.4"
"2018","Phillies","20.2","2.5","-11.5","-7.8","22.6","-19.3","1.1","21.1","25.6","2.6"
"2013","Red Sox","29.4","4.4","-6.5","-14.5","33.8","-21.0","4.9","36.0","53.7","5.8"
