"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2018","Red Sox","117.9","13.6","26.9","-23.8","131.5","3.1","8.6","80.9","224.1","23.1"
"2017","Marlins","98.3","-0.7","9.2","-12.8","97.6","-3.6","4.4","70.5","168.9","16.8"
"2010","Rangers","61.5","9.8","27.4","-13.6","71.3","13.8","11.5","60.8","157.5","16.3"
"2010","Rockies","28.8","7.4","-20.1","-12.3","36.3","-32.4","1.4","67.0","72.3","7.5"
"2011","Brewers","70.2","14.5","14.7","-12.2","84.7","2.5","3.0","67.4","157.6","16.7"
"2010","Blue Jays","64.0","-2.5","-10.1","-12.7","61.5","-22.9","13.3","69.9","121.8","12.6"
"2017","Yankees","73.8","15.3","12.9","-16.5","89.1","-3.6","7.8","73.4","166.6","16.6"
"2011","Yankees","58.6","11.7","32.4","-15.3","70.4","17.1","8.8","64.1","160.4","17.0"
"2013","Rockies","28.9","17.6","-11.3","-13.6","46.6","-24.9","3.2","65.7","90.7","9.8"
"2011","Cardinals","90.1","-1.9","-21.8","-13.1","88.3","-34.9","3.4","78.7","135.4","14.3"
"2012","Rockies","23.1","9.6","1.7","-16.0","32.7","-14.4","1.8","73.4","93.5","9.8"
"2010","Cardinals","61.7","0.9","-8.4","-12.9","62.6","-21.3","1.5","68.8","111.5","11.6"
"2012","Rangers","52.0","3.5","-0.3","-16.4","55.5","-16.7","9.4","64.7","112.9","11.8"
"2011","Royals","53.8","8.5","10.1","-13.3","62.3","-3.2","9.0","65.2","133.3","14.1"
"2014","Dodgers","80.1","-1.4","-10.2","-13.9","78.7","-24.1","4.7","65.7","125.1","13.7"
"2012","Brewers","61.2","11.1","-2.1","-20.0","72.3","-22.2","2.0","79.6","131.7","13.8"
"2014","Pirates","85.9","14.7","-8.1","-11.3","100.6","-19.4","5.4","75.9","162.5","17.8"
"2016","Red Sox","45.8","21.1","21.5","-12.1","66.9","9.4","9.4","66.2","151.9","15.5"
"2014","Rockies","21.9","4.8","-12.9","-14.3","26.7","-27.2","4.8","68.2","72.4","7.9"
"2010","Phillies","46.8","9.9","-18.6","-14.0","56.8","-32.6","1.5","69.7","95.4","9.9"
"2019","Yankees","59.1","7.8","16.2","-15.8","66.9","0.4","8.9","70.5","146.7","14.2"
"2018","Brewers","65.4","15.4","26.3","-14.5","80.9","11.8","4.4","81.7","178.9","18.4"
"2019","Brewers","47.0","11.4","12.4","-12.2","58.3","0.1","2.2","71.1","131.8","12.8"
"2017","Astros","69.7","1.4","-11.5","-13.1","71.1","-24.6","8.0","75.3","129.8","12.9"
"2013","Red Sox","49.1","21.5","7.4","-17.0","70.5","-9.6","9.4","69.4","139.8","15.1"
"2019","Angels","61.7","9.4","-0.5","-13.9","71.1","-14.4","8.5","67.7","132.9","12.9"
"2012","Angels","73.9","20.9","23.6","-17.2","94.8","6.4","9.9","68.5","179.6","18.8"
"2014","Orioles","78.7","1.0","21.6","-32.1","79.6","-10.5","9.9","84.6","163.6","17.9"
"2018","Yankees","69.4","13.7","22.7","-23.7","83.1","-1.0","8.3","78.3","168.7","17.4"
"2012","Cardinals","72.2","1.3","-6.1","-18.5","73.4","-24.6","2.1","85.4","136.3","14.3"
"2019","Dodgers","78.7","8.6","7.7","-14.7","87.3","-7.0","3.1","98.9","182.3","17.7"
"2017","Mets","54.5","4.5","10.5","-13.6","59.0","-3.1","4.4","70.0","130.2","13.0"
"2017","Cardinals","50.1","9.6","4.8","-15.5","59.6","-10.7","4.6","74.0","127.6","12.7"
"2010","Brewers","38.5","5.7","-1.2","-12.4","44.2","-13.6","1.5","69.2","101.3","10.5"
"2016","Cubs","68.5","15.7","38.1","-7.8","84.1","30.3","3.2","105.0","222.6","22.8"
"2013","Angels","67.4","11.7","-11.5","-18.9","79.1","-30.3","9.2","68.1","126.1","13.6"
"2018","Nationals","42.3","6.5","-15.7","-12.2","48.8","-27.9","3.6","67.1","91.6","9.4"
"2019","Red Sox","43.0","2.6","6.9","-26.7","45.6","-19.8","10.9","86.8","123.5","12.0"
"2015","Diamondbacks","41.9","8.7","9.0","-12.5","50.6","-3.5","4.2","71.8","123.1","13.1"
"2019","Nationals","31.8","5.7","6.3","-13.2","37.5","-7.0","2.2","71.4","104.2","10.1"
"2019","Rangers","28.5","15.5","-16.5","-29.3","44.1","-45.9","12.2","97.0","107.4","10.4"
"2015","Nationals","53.3","4.5","-17.3","-17.8","57.8","-35.2","4.3","73.2","100.1","10.6"
"2010","Yankees","30.8","13.7","32.6","-18.5","44.5","14.1","13.0","68.8","140.4","14.6"
"2015","Brewers","41.5","4.0","-19.7","-12.9","45.5","-32.7","3.7","64.1","80.6","8.6"
"2015","Blue Jays","48.4","14.2","-4.6","-19.2","62.6","-23.8","8.4","70.7","118.0","12.5"
"2013","Cardinals","61.1","-4.3","-22.1","-20.4","56.8","-42.5","3.8","76.8","94.9","10.2"
"2012","Athletics","68.8","15.1","6.0","-32.2","83.9","-26.1","12.5","86.5","156.8","16.4"
"2019","Mets","57.1","-3.4","-13.1","-12.6","53.7","-25.7","2.6","82.4","113.0","11.0"
"2017","Rockies","-12.4","-1.9","-3.8","-13.9","-14.3","-17.7","4.7","76.3","49.0","4.9"
"2014","Marlins","52.9","8.3","18.2","-12.3","61.2","5.9","4.6","65.5","137.3","15.1"
"2016","Rockies","-6.8","2.2","3.0","-14.8","-4.6","-11.9","2.2","71.8","57.5","5.9"
"2018","Dodgers","73.6","11.6","-11.7","-15.5","85.2","-27.2","5.2","96.4","159.6","16.4"
"2017","Nationals","21.8","3.7","-3.5","-15.6","25.4","-19.2","4.6","74.6","85.6","8.5"
"2019","Astros","54.3","6.9","21.0","-16.8","61.2","4.2","10.1","80.1","155.6","15.1"
"2013","Reds","39.2","5.4","0.5","-13.7","44.5","-13.2","3.3","66.6","101.2","10.9"
"2011","Phillies","36.9","3.7","-23.8","-13.7","40.5","-37.6","2.8","64.4","70.2","7.4"
"2012","Yankees","36.8","9.1","-6.8","-20.5","45.9","-27.3","10.1","69.9","98.6","10.3"
"2018","Angels","49.3","5.9","-0.5","-14.4","55.2","-14.8","6.8","63.8","110.9","11.4"
"2016","Pirates","38.5","3.3","-11.3","-13.7","41.8","-24.9","2.2","72.3","91.3","9.3"
"2010","Reds","19.4","15.5","14.2","-13.3","34.9","0.9","1.4","66.1","103.3","10.7"
"2011","Dodgers","51.1","5.1","8.5","-14.4","56.2","-5.9","3.0","67.8","121.1","12.8"
"2011","Rangers","17.5","8.7","6.9","-13.9","26.2","-7.0","8.1","58.9","86.2","9.1"
"2019","Cubs","34.3","1.0","-1.5","-11.1","35.2","-12.6","2.9","92.5","118.0","11.5"
"2010","Giants","39.9","-1.3","45.6","-19.7","38.6","25.9","1.7","79.1","145.2","15.1"
"2014","Blue Jays","42.6","-0.9","5.4","-18.6","41.6","-13.2","7.5","64.6","100.5","11.0"
"2011","Rockies","-2.8","6.7","-15.2","-11.5","4.0","-26.6","2.8","64.0","44.2","4.7"
"2019","Braves","21.2","11.2","-0.5","-13.0","32.4","-13.5","2.3","74.4","95.6","9.3"
"2016","Marlins","40.7","2.0","8.1","-12.6","42.7","-4.5","2.1","68.2","108.5","11.1"
"2013","Brewers","27.1","4.6","28.6","-12.4","31.7","16.2","3.0","62.0","113.0","12.2"
"2019","Rockies","-22.1","-0.4","-28.0","-11.7","-22.5","-39.7","2.5","78.5","18.8","1.8"
"2011","Diamondbacks","22.3","14.3","34.6","-9.4","36.7","25.2","3.0","67.3","132.1","14.0"
"2013","Pirates","54.0","10.6","-0.4","-18.3","64.5","-18.7","3.7","75.8","125.3","13.5"
"2012","Orioles","33.1","2.5","-18.2","-23.2","35.6","-41.4","11.4","78.4","84.0","8.8"
"2017","Dodgers","35.9","7.3","8.3","-17.7","43.2","-9.5","5.5","88.4","127.6","12.7"
"2015","Tigers","30.3","3.8","5.4","-15.8","34.1","-10.5","7.8","65.0","96.4","10.2"
"2018","Rockies","-10.2","5.4","-9.7","-12.3","-4.8","-22.0","3.6","65.7","42.4","4.4"
"2010","Tigers","22.0","19.0","23.9","-27.2","40.9","-3.4","16.6","87.4","141.5","14.7"
"2017","Angels","32.6","18.8","4.8","-13.6","51.4","-8.8","7.1","67.2","117.0","11.6"
"2010","Cubs","9.6","2.5","7.2","-16.9","12.1","-9.6","1.6","73.0","77.0","8.0"
"2010","White Sox","7.9","11.5","-11.8","-17.4","19.4","-29.1","12.6","66.3","69.1","7.2"
"2010","Rays","33.9","27.1","32.4","-15.1","61.0","17.3","13.4","70.4","162.1","16.8"
"2012","Diamondbacks","14.5","2.4","7.3","-13.1","16.9","-5.8","1.6","64.7","77.4","8.1"
"2014","Tigers","35.5","6.2","-14.1","-14.8","41.7","-28.9","7.5","64.2","84.4","9.3"
"2015","Cardinals","35.4","5.8","20.8","-15.1","41.3","5.8","3.9","66.9","117.8","12.5"
"2016","Angels","35.9","9.3","15.4","-17.4","45.2","-2.0","10.2","71.6","125.0","12.8"
"2017","Phillies","10.5","0.7","-2.1","-14.3","11.2","-16.4","4.7","76.1","75.6","7.5"
"2019","Rays","37.3","0.4","6.3","-21.9","37.7","-15.6","9.9","78.8","110.8","10.8"
"2016","Cardinals","25.6","-2.3","-15.5","-17.1","23.3","-32.6","2.2","73.7","66.6","6.8"
"2019","Twins","20.3","2.6","18.2","-13.5","23.0","4.7","9.0","71.8","108.6","10.5"
"2015","Dodgers","41.8","-1.7","3.4","-13.1","40.2","-9.8","4.1","70.4","104.9","11.1"
"2015","Mariners","53.7","-7.4","-16.4","-26.3","46.3","-42.6","10.8","90.5","105.0","11.1"
"2018","Braves","21.5","7.8","1.4","-11.7","29.2","-10.3","4.0","74.4","97.4","10.0"
"2011","Marlins","23.8","5.0","-7.6","-9.1","28.8","-16.7","3.4","77.4","92.9","9.8"
