"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2018","Red Sox","62.3","6.9","16.8","-5.3","69.2","11.6","1.9","18.4","101.1","10.4"
"2015","Nationals","74.5","3.6","-4.8","-7.3","78.0","-12.1","1.3","23.0","90.3","9.6"
"2017","Yankees","60.7","-0.3","6.4","-8.6","60.4","-2.2","2.4","22.4","82.9","8.3"
"2019","Brewers","56.1","9.2","3.7","-6.7","65.3","-3.0","0.8","24.4","87.5","8.5"
"2011","Blue Jays","63.2","7.8","-13.4","-11.2","71.0","-24.6","4.4","31.6","82.3","8.7"
"2019","Dodgers","73.2","1.8","12.4","-12.3","74.9","0.0","1.2","38.6","114.8","11.1"
"2019","Rockies","21.1","-4.5","-10.6","-6.3","16.6","-16.9","0.6","19.9","20.3","2.0"
"2011","Diamondbacks","32.6","6.6","7.9","-7.1","39.3","0.8","0.9","19.8","60.7","6.4"
"2010","Indians","34.1","1.9","6.3","-6.6","36.0","-0.3","3.6","19.1","58.5","6.1"
"2017","Marlins","45.3","-2.2","7.4","-8.1","43.1","-0.7","1.7","28.0","72.2","7.2"
"2010","Blue Jays","49.6","-1.5","-0.4","-9.6","48.1","-10.1","6.4","33.9","78.3","8.1"
"2010","Braves","25.1","1.8","5.2","-6.2","26.9","-1.0","0.4","18.5","44.8","4.6"
"2017","Diamondbacks","30.9","-2.0","0.3","-8.7","29.0","-8.4","1.7","27.7","50.0","5.0"
"2016","Red Sox","29.5","10.4","21.2","-7.2","40.0","14.0","3.2","22.4","79.6","8.1"
"2010","Rangers","31.6","2.8","7.0","-10.2","34.4","-3.2","5.5","29.0","65.7","6.8"
"2018","Yankees","31.2","0.4","10.2","-8.2","31.5","2.0","2.1","20.3","56.0","5.8"
"2017","Brewers","21.3","3.2","-4.9","-6.2","24.5","-11.1","1.2","18.8","33.3","3.3"
"2018","Brewers","52.7","8.3","13.8","-11.9","61.0","1.9","2.2","39.8","104.9","10.8"
"2010","Phillies","37.2","7.8","-13.5","-9.4","45.0","-22.9","0.7","31.7","54.5","5.7"
"2015","Tigers","26.1","-2.8","10.4","-8.2","23.4","2.2","2.4","19.9","47.8","5.1"
"2014","Dodgers","59.1","-4.0","-14.9","-7.8","55.1","-22.7","2.6","37.0","72.0","7.9"
"2019","Red Sox","25.2","6.0","12.9","-6.9","31.3","6.0","3.0","24.0","64.2","6.2"
"2017","Astros","48.8","1.1","-3.3","-7.3","49.9","-10.6","3.8","36.1","79.3","7.9"
"2011","Cardinals","56.1","1.8","-8.7","-9.6","57.8","-18.3","1.8","40.6","81.9","8.7"
"2015","Blue Jays","32.6","3.9","-4.0","-11.4","36.5","-15.4","3.1","26.1","50.3","5.3"
"2018","Nationals","37.9","1.2","-16.1","-7.5","39.0","-23.7","1.9","34.2","51.5","5.3"
"2019","Yankees","35.2","-0.1","7.3","-11.8","35.1","-4.5","3.8","30.3","64.7","6.3"
"2013","Rockies","16.5","5.6","-9.0","-8.5","22.1","-17.5","1.4","27.9","33.9","3.7"
"2015","Rockies","11.3","1.5","1.5","-6.3","12.8","-4.8","1.0","17.8","26.7","2.8"
"2012","Marlins","27.2","-2.6","6.8","-7.2","24.6","-0.3","0.6","22.7","47.5","5.0"
"2017","Nationals","17.9","-0.2","5.0","-6.5","17.7","-1.5","1.3","21.1","38.6","3.8"
"2014","Blue Jays","30.4","-2.8","1.0","-10.2","27.7","-9.1","2.7","23.1","44.4","4.9"
"2016","Rockies","8.9","-1.7","6.1","-6.7","7.2","-0.7","0.6","19.6","26.8","2.7"
"2018","Tigers","23.9","3.2","-12.9","-7.9","27.1","-20.7","2.1","20.3","28.8","3.0"
"2011","Marlins","21.8","-1.4","6.0","-6.7","20.4","-0.8","0.9","19.6","40.1","4.2"
"2011","White Sox","28.2","1.8","9.3","-11.8","30.0","-2.6","3.9","28.6","59.9","6.3"
"2013","Red Sox","30.5","7.1","10.3","-10.8","37.6","-0.5","4.2","30.8","72.0","7.8"
"2012","White Sox","19.4","2.2","2.0","-7.0","21.6","-5.1","2.7","18.9","38.2","4.0"
"2013","Nationals","23.6","1.2","-3.1","-7.4","24.8","-10.4","1.0","20.5","35.9","3.9"
"2014","Marlins","34.3","2.4","1.2","-8.1","36.7","-7.0","1.9","26.9","58.5","6.4"
"2015","Brewers","22.2","3.6","-7.3","-6.7","25.8","-14.0","1.2","21.0","34.0","3.6"
"2015","Rangers","20.8","3.2","-3.0","-7.5","24.0","-10.5","2.6","21.6","37.6","4.0"
"2010","Brewers","19.7","-0.1","-5.7","-6.9","19.7","-12.6","0.5","23.2","30.8","3.2"
"2014","Tigers","37.2","-3.5","-10.8","-12.4","33.7","-23.2","3.6","31.1","45.2","5.0"
"2013","Dodgers","42.6","-4.9","6.0","-7.7","37.8","-1.7","1.6","33.6","71.3","7.7"
"2010","White Sox","18.8","-0.8","-26.1","-11.3","18.0","-37.4","5.0","26.3","11.9","1.2"
"2011","Yankees","23.5","-5.8","10.8","-11.7","17.7","-0.9","3.7","26.9","47.4","5.0"
"2013","Giants","26.7","5.5","-3.5","-7.4","32.2","-10.9","1.0","19.6","41.9","4.5"
"2019","Mets","21.1","1.6","-1.2","-4.8","22.7","-5.9","0.6","20.5","37.9","3.7"
"2011","Mets","38.7","3.7","-17.7","-11.0","42.4","-28.7","1.5","35.2","50.4","5.3"
"2010","Reds","15.9","3.8","23.1","-7.6","19.7","15.5","0.5","24.2","59.9","6.2"
"2012","Indians","22.6","-1.7","-10.4","-7.1","20.9","-17.5","3.0","21.0","27.4","2.9"
"2012","Reds","16.0","0.5","-5.5","-6.9","16.6","-12.5","0.5","19.0","23.6","2.5"
"2015","Mariners","52.2","-5.0","-6.9","-24.6","47.2","-31.5","5.5","46.0","67.2","7.1"
"2011","Rangers","9.7","-1.3","-6.2","-6.0","8.3","-12.2","2.1","14.9","13.1","1.4"
"2016","Astros","23.2","-0.3","8.2","-8.0","23.0","0.2","3.2","22.4","48.8","5.0"
"2018","Mariners","32.3","1.0","-1.2","-9.6","33.4","-10.9","3.1","29.4","55.0","5.7"
"2010","Orioles","13.6","-2.1","-5.5","-7.3","11.5","-12.8","4.0","21.0","23.7","2.5"
"2019","Phillies","15.6","-0.8","10.4","-7.2","14.8","3.2","0.7","23.0","41.8","4.1"
"2019","Astros","36.2","2.4","13.6","-10.0","38.6","3.6","4.9","38.9","86.0","8.4"
"2018","Athletics","18.5","-1.2","-0.5","-6.8","17.3","-7.2","1.9","18.1","30.1","3.1"
"2012","Braves","16.0","9.5","11.8","-6.9","25.5","4.9","0.5","19.2","50.1","5.3"
"2010","Angels","32.5","-7.2","-10.7","-9.6","25.3","-20.3","7.5","39.3","51.8","5.4"
"2012","Angels","18.7","4.2","7.4","-6.7","22.9","0.7","2.6","18.0","44.2","4.6"
"2016","Mariners","46.2","-4.1","-11.3","-24.6","42.1","-35.9","6.7","47.2","60.0","6.1"
"2011","Rockies","8.5","-0.7","-6.5","-10.9","7.9","-17.4","1.7","38.0","30.2","3.2"
"2010","Tigers","16.9","0.7","2.6","-11.8","17.6","-9.2","5.5","28.9","42.8","4.4"
"2010","Dodgers","16.3","2.1","-16.7","-7.3","18.4","-24.0","0.5","21.3","16.1","1.7"
"2017","Rays","15.9","3.6","4.0","-6.8","19.5","-2.7","2.0","19.1","37.9","3.8"
"2015","Astros","27.5","10.2","3.0","-8.3","37.7","-5.3","3.5","29.1","64.9","6.9"
"2019","Indians","12.6","-1.3","11.6","-8.7","11.3","2.9","3.1","24.4","41.6","4.0"
"2013","Rangers","10.7","-2.8","0.0","-8.3","7.9","-8.3","2.7","20.3","22.7","2.4"
"2010","Yankees","13.9","-3.4","3.1","-10.7","10.4","-7.6","5.2","27.6","35.7","3.7"
"2013","Tigers","13.1","1.9","-1.5","-6.4","15.0","-7.9","2.5","18.6","28.2","3.0"
"2015","Dodgers","23.6","-1.1","3.2","-8.9","22.6","-5.7","1.5","25.4","43.7","4.6"
"2013","Blue Jays","19.6","11.0","0.6","-11.2","30.7","-10.6","3.9","28.9","52.8","5.7"
"2011","Brewers","16.3","-0.6","-3.7","-7.8","15.7","-11.5","1.1","25.1","30.4","3.2"
"2018","Braves","13.7","-2.7","1.6","-7.5","11.0","-5.9","1.2","22.0","28.3","2.9"
"2015","Cardinals","15.0","7.2","17.4","-6.2","22.2","11.3","1.0","17.8","52.3","5.6"
"2019","Braves","10.3","-2.0","-8.1","-7.0","8.4","-15.1","0.7","22.2","16.2","1.6"
"2018","Dodgers","25.7","-3.4","-9.2","-10.6","22.3","-19.8","1.7","31.0","35.2","3.6"
"2016","Cardinals","12.8","-3.6","-4.7","-6.2","9.2","-10.9","0.6","19.6","18.4","1.9"
"2011","Rays","13.8","6.0","5.3","-6.3","19.8","-1.0","2.3","16.4","37.4","4.0"
"2019","Rays","32.9","-3.7","-0.8","-15.8","29.2","-16.6","5.4","43.0","60.9","5.9"
"2012","Rays","35.1","-0.5","5.6","-8.4","34.6","-2.7","5.6","38.4","75.8","7.9"
"2011","Reds","12.2","0.6","-0.7","-7.2","12.8","-7.9","0.9","19.8","25.6","2.7"
"2013","Reds","12.9","1.9","8.8","-7.4","14.8","1.4","1.0","19.9","37.1","4.0"
"2010","Rockies","-2.2","0.3","-15.1","-10.4","-1.9","-25.5","0.7","32.2","5.5","0.6"
"2016","Tigers","14.7","-4.3","-21.8","-7.7","10.4","-29.5","3.4","24.1","8.4","0.9"
"2012","Yankees","19.5","1.8","-1.1","-14.9","21.3","-15.9","4.9","33.6","43.9","4.6"
"2016","Pirates","21.6","-1.0","-1.7","-11.1","20.6","-12.9","1.1","36.0","44.8","4.6"
"2019","Royals","27.5","3.0","-3.3","-18.4","30.5","-21.7","7.0","55.8","71.6","7.0"
"2012","Cardinals","13.4","-1.0","3.4","-6.3","12.4","-2.9","0.5","20.7","30.7","3.2"
"2010","Astros","8.9","3.2","0.6","-7.0","12.1","-6.4","0.4","19.5","25.6","2.7"
"2017","White Sox","17.1","2.3","-3.6","-9.1","19.4","-12.7","2.9","27.8","37.5","3.7"
"2012","Rockies","-3.7","3.2","9.0","-12.0","-0.5","-3.0","1.0","40.5","38.0","4.0"
"2018","Mets","28.1","1.3","-9.7","-10.2","29.4","-19.8","2.0","36.0","47.6","4.9"
"2013","Rays","18.4","3.2","1.5","-10.5","21.5","-9.1","3.3","24.4","40.2","4.3"
"2014","Nationals","16.8","7.2","1.0","-8.7","24.0","-7.7","1.8","25.5","43.6","4.8"
