"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2017","Astros","30.8","1.6","-2.1","4.8","32.4","2.6","1.6","14.9","51.5","5.1"
"2019","Astros","72.0","1.8","3.4","7.9","73.8","11.3","4.8","37.9","127.7","12.4"
"2018","Rockies","22.7","2.5","-2.8","7.4","25.1","4.6","1.1","21.1","51.9","5.3"
"2019","Red Sox","32.4","1.1","1.0","7.2","33.5","8.2","3.0","23.6","68.3","6.6"
"2011","Rockies","19.8","-4.2","7.1","6.8","15.7","13.9","0.8","19.3","49.8","5.3"
"2013","Rockies","17.2","-3.0","4.0","7.0","14.3","10.9","1.0","20.8","47.0","5.1"
"2019","Athletics","35.7","1.7","6.7","7.4","37.4","14.1","3.0","23.5","78.0","7.6"
"2018","Indians","26.9","1.2","14.1","7.0","28.1","21.1","2.4","22.3","73.9","7.6"
"2010","Marlins","23.2","5.4","-8.0","7.2","28.6","-0.8","0.5","22.1","50.3","5.2"
"2018","Red Sox","22.8","-2.2","-1.1","6.7","20.6","5.6","2.1","19.5","47.8","4.9"
"2016","Dodgers","28.9","3.2","5.5","7.3","32.2","12.9","0.7","22.8","68.5","7.0"
"2012","Nationals","18.6","-0.9","0.8","5.9","17.7","6.6","0.4","16.3","41.0","4.3"
"2017","Dodgers","20.4","3.0","10.3","6.1","23.4","16.4","1.2","19.4","60.4","6.0"
"2019","Padres","18.4","0.8","-5.6","5.8","19.2","0.2","0.6","20.6","40.6","3.9"
"2017","Indians","14.6","4.7","6.5","7.0","19.4","13.5","2.4","22.3","57.6","5.7"
"2010","Rockies","4.2","3.5","10.2","8.4","7.6","18.6","0.6","28.5","55.4","5.7"
"2019","Rockies","2.4","6.7","7.5","7.1","9.1","14.6","0.8","25.9","50.5","4.9"
"2011","Mets","27.8","8.1","-2.0","8.2","36.0","6.1","1.2","28.0","71.3","7.5"
"2016","Cardinals","18.0","-0.8","-9.3","6.6","17.2","-2.6","0.7","22.8","38.1","3.9"
"2016","Astros","18.5","3.8","-1.6","7.0","22.3","5.4","2.8","19.9","50.4","5.2"
"2014","Rockies","3.8","1.1","-10.0","7.8","4.9","-2.2","1.9","27.3","32.0","3.5"
"2018","Yankees","13.0","2.6","3.6","6.4","15.6","10.0","1.9","18.1","45.6","4.7"
"2019","Twins","16.2","3.9","-11.8","5.2","20.0","-6.5","3.8","30.1","47.4","4.6"
"2011","Indians","17.4","2.2","-14.3","7.7","19.6","-6.6","3.2","23.6","39.8","4.2"
"2016","Red Sox","9.4","6.2","-3.1","7.0","15.6","3.9","3.2","22.3","45.0","4.6"
"2012","Yankees","13.5","-1.3","-8.6","3.6","12.2","-5.1","3.6","24.9","35.7","3.7"
"2013","Nationals","12.5","1.3","0.4","7.3","13.7","7.7","0.9","19.0","41.3","4.5"
"2017","Rangers","3.2","4.5","0.1","6.9","7.7","7.0","2.3","21.5","38.5","3.8"
"2015","Astros","18.1","5.2","-11.8","6.2","23.3","-5.6","2.9","24.1","44.6","4.7"
"2016","Orioles","18.0","-1.8","17.3","9.0","16.2","26.2","5.0","35.3","82.7","8.5"
"2011","Tigers","10.3","-3.7","13.7","8.2","6.6","21.9","3.5","25.3","57.3","6.1"
"2016","Indians","7.4","0.6","14.3","7.0","8.0","21.3","3.0","21.2","53.4","5.5"
"2016","Mets","12.8","-4.1","1.9","6.8","8.8","8.6","0.6","20.2","38.3","3.9"
"2011","Cubs","7.1","-2.7","-7.5","7.2","4.4","-0.3","0.9","20.8","25.8","2.7"
"2018","Orioles","15.1","1.2","-16.7","7.7","16.3","-9.0","3.4","31.7","42.4","4.4"
"2016","Rockies","-7.5","3.0","-5.7","6.1","-4.4","0.5","0.9","29.0","25.9","2.6"
"2015","Red Sox","7.6","3.9","3.3","7.0","11.4","10.3","2.3","19.2","43.2","4.6"
"2018","Dodgers","18.1","5.7","-4.8","6.9","23.8","2.1","1.6","30.4","57.9","6.0"
"2019","Dodgers","13.0","5.9","-3.7","5.9","18.9","2.3","0.9","30.0","52.1","5.1"
"2016","Brewers","7.2","4.7","-21.3","7.8","11.9","-13.5","0.8","27.0","26.2","2.7"
"2010","Dodgers","10.7","6.6","8.0","7.8","17.3","15.7","0.6","26.1","59.6","6.2"
"2011","Orioles","4.6","0.5","10.6","6.2","5.2","16.8","2.4","17.7","42.2","4.5"
"2013","Red Sox","6.0","-1.1","7.4","7.6","4.9","15.0","3.3","24.1","47.3","5.1"
"2012","Marlins","9.2","3.4","-5.4","7.3","12.6","1.9","0.5","21.1","36.1","3.8"
